parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,total_pressure_mutations_mean,total_pressure_mutations_median,total_pressure_mutations_stddev,total_pressure_mutations_min,total_pressure_mutations_max,total_pressure_mutations_p10,total_pressure_mutations_p90
0.00001,0,500,53.4,54,1.5008769366431638,49,55,52,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5526417529853147,0.5489104151768516,0.03445429641703711,0.5007942876580838,0.6233037201367787,0.5140058110694953,0.5877289778503252,0.544668605456468,0.5407178911533658,0.01856036605440118,0.5158266356589062,0.5889919494343735,0.5255731236592761,0.5659993688082655,76.8,76,8.80550067317374,63,92,65.89999999999999,86.5,43.4,42.5,8.19756061276768,32,59,33.9,52.50000000000001,48.63360000000001,48.976,1.5529251989983972,44.532,50.478,45.9196,50.1636,6.853933366765567,6.945494950360834,0.6817551682297804,5.730888587296043,8.086063071730269,6.01079156078315,7.72331337718656,24.425649538001146,24.268605624324127,0.85428285577891,23.06365066966986,26.37976127838743,23.707386616785122,25.49256295589724,17.15,17,1.6311119875071343,15,20,15,19.1
0.00002,0,500,54.2,55,1.7044832524535807,50,57,52,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5429935758950573,0.5411771680977153,0.033107700391726155,0.48546234938710564,0.5999269281579859,0.5072859456047817,0.5876085215788546,0.5473648658378242,0.5487756687458794,0.019712532730087474,0.5036934776051709,0.5754457688748268,0.5214377430032915,0.5720129329625707,76.25,75,5.793599008706437,67,90,70.8,82.60000000000001,42.05,41,5.753488644200784,33,54,35,52.1,49.151199999999996,49.374,1.4987370683345358,45.714,51.25,47.2548,50.89,6.820644986832546,6.823290192836545,0.3842126105441993,6.009998003327461,7.623253636079555,6.424799908691559,7.2400595777145424,70.92983096658494,72.1561288765271,3.6671597679116723,62.35230249944076,76.60438153878485,65.55987307876298,74.164062458997,21.65,22,1.565247584249853,19,25,19.900000000000002,23
0.000030000000000000004,0,500,53.25,53,1.7733405882980469,51,56,51,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5423250589808755,0.533129694341907,0.051274804954973635,0.46768871199197803,0.6616960124624282,0.48879082482354275,0.6041469755566513,0.5448220884619153,0.5442518645013049,0.017622368151744654,0.5134975095418541,0.5894479838737188,0.5265143851984383,0.5589464765861938,76.8,76,5.2274578706550745,66,85,71.8,84,43.55,43.5,5.642647754752243,33,54,36.9,51,48.7197,48.91,1.6471895394724216,44.974,51.336,46.4414,50.329,6.648695142105185,6.683605016007154,0.39096790465517994,5.828650272575981,7.476613939478206,6.077037273447977,6.959720681937913,160.57491419127263,160.3706093930278,7.512500988530235,147.8913480392499,172.73105131813978,150.36117117943903,168.91096882683684,24.4,24.5,2.2100250058123296,20,28,22,27
0.00004,0,500,53.4,54,2.603641175051019,46,58,51.699999999999996,55.2,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.549131705219765,0.5510875008671303,0.029952895405744966,0.4731289552921067,0.622652541910957,0.5284980166820596,0.5727510837576786,0.5348871073108973,0.5366880063631196,0.023610800498573205,0.4907838254654568,0.5818190884896955,0.5102558969720107,0.5567691980157599,75.3,76,7.123718721359837,59,87,65.89999999999999,83.1,41.9,42.5,7.18111558552232,30,55,31.9,50.2,48.617799999999995,49.05200000000001,1.6789934202560641,45.478,51.688,46.1286,50.2962,6.698995157987179,6.800428901954826,0.4930240447476109,5.077156290680809,7.405418556705636,6.261056801105538,7.152008870862028,264.43389097908613,267.12181202597606,12.88319011269019,239.78512906556898,280.96285160693174,245.37727125084754,278.9742878450961,25.45,25,2.3502519461807316,22,30,22.9,29
0.00005,0,500,53.3,53,2.2266330494363245,49,57,50.9,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5561563985601721,0.558351637628627,0.0381651371191864,0.4815344298753637,0.6134937072726816,0.4976234385723566,0.6071690600199076,0.5443594445562882,0.5462751769903065,0.02408436680353039,0.5003639942223159,0.5828548696243475,0.5099797335913019,0.572065325224286,78.15,79,6.7064383833353505,61,89,69.8,85,44.85,43.5,7.314549307985241,32,57,34.7,54,48.7145,48.6,1.3464127583283938,45.232,50.664,47.5186,50.521,6.627028658057095,6.643424361874745,0.5212282713280194,5.625619965834888,8.0171044648302,5.918816443708649,7.051046461300846,371.54150790498414,371.86902255249913,16.17505967492397,331.0488734565044,396.8135785248496,352.38655179268994,388.6577412334285,24.8,24,2.2849622823099174,21,29,22,28
0.00006,0,500,51.8,52,2.8022547312739734,47,56,47.9,55,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5513029314587377,0.5426994956949206,0.03147360762175283,0.49024480025777883,0.6254525159652048,0.5209884389444839,0.5873165148460376,0.542329563103126,0.5418427007659901,0.017794326221290294,0.5114762247529724,0.5747639905911256,0.5230010446989414,0.5667810214382746,75.7,75.5,7.794059816363525,58,91,66.8,84.2,43.9,43,8.453588462584209,31,60,32.8,55.400000000000006,48.1569,48.271,2.5839018618320138,42.616,51.766,45.02,50.946600000000004,6.579710087009697,6.632564628461203,0.5501924743624405,5.559185551859236,7.8772611991732235,5.988673283737372,7.0763994945495305,471.7197009217266,480.7440236279623,35.36815840674507,402.0311281393654,535.8797908488924,427.1112807286567,509.3561626356386,25.9,25,2.8265657049165736,21,32,22.9,30
0.00007000000000000001,0,500,52.05,52,1.7006190823220508,48,55,50,54,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5698727598757711,0.56238578454416,0.04301990412092044,0.5016634043460688,0.6736066572878718,0.5179032447203014,0.6182995771293136,0.5437312136162749,0.5446634958849936,0.016865261064882824,0.5029343588634911,0.5687158724539436,0.5291599390429854,0.5664101379772906,78.15,77.5,5.556172480366222,69,90,71.9,84.30000000000001,46.1,46,5.437685266051316,38,56,38.900000000000006,53.1,47.7868,47.797,1.3781863597152828,44.784,50.038,46.025,49.5226,6.668596505480982,6.618601361781472,0.7662201463828826,5.416352647307955,8.524698000515903,5.898800858488468,7.3064776022449625,562.1114600097155,559.5575702106145,26.04240348092955,495.1700249479218,611.9763621984774,540.3004226863989,594.7958963500565,25.8,26.5,2.9664793948382653,21,32,22.8,28.300000000000004
0.00008,0,500,52.6,52,2.062190965683675,49,56,49.9,55.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5726994784594694,0.5664823499469377,0.03034962794690987,0.526414393835098,0.6441461728576824,0.5378328574398373,0.6113510576604644,0.5476223737523003,0.546340885488801,0.016212415877057504,0.5202275007565025,0.5839418562210947,0.5279039023119658,0.5657963690345941,77,78,5.749141812387947,66,86,69.6,83.19999999999999,44.4,45,4.535242116208525,36,51,37,50,47.569599999999994,47.698,2.0755119190975,42.954,50.694,45.662000000000006,49.8664,6.7255546560954285,6.777530662056183,0.5159642662791146,5.755325881303333,7.941687478111942,6.077926577037677,7.238555444357205,658.2793623106902,658.1268406827216,31.724594240109806,593.9219561109312,731.7267103890867,626.7375092592318,689.9829502864471,24.75,25,2.0994986870303363,22,29,22,27.200000000000003
0.00009,0,500,53.05,54,2.605156829302827,47,56,48.900000000000006,56,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5708003305151302,0.5678408750955704,0.029629428219395428,0.5078256098787978,0.6269643513166864,0.5392626800110478,0.6100204800144385,0.5524450173588535,0.5538977739950735,0.024670663268482204,0.49292208920215297,0.6051509887087831,0.5327941567525477,0.5688168559807216,77.25,77,6.14624403920587,60,88,71.8,84.1,44.2,43.5,5.8092485246417755,32,56,36.9,50.1,48.1082,48.425,2.083923516123524,43.326,50.772,44.555400000000006,50.181,6.809463681973931,6.976223591292195,0.6295334645827465,4.817094560001938,7.713223969262133,6.167752674311902,7.44810653011924,743.6869795130282,750.0819619069676,40.36437511779355,669.4379834487977,816.1666805505103,684.6943956467628,785.9998365777315,25.9,25.5,2.245463262482354,23,31,23.9,30
0.0001,0,500,52.85,53,2.9960500312033647,47,57,48,56.1,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.5799397946870247,0.5753639822112392,0.034040785185022925,0.5062002832049561,0.6329119475306917,0.5321058995832327,0.617047870801521,0.5389793108669814,0.5395992575386769,0.021614527362923068,0.5060806311060346,0.5903164911769275,0.5107725605707785,0.5567426616595574,75.25,77.5,7.489466286936466,61,87,63.8,83,42.4,42.5,5.547877735532845,33,51,33.9,49.1,47.71560000000001,48.608999999999995,2.631230778652133,40.978,51.544,44.278200000000005,49.87,6.632439190243124,6.71964907442595,0.609279460318033,4.835857317994393,7.486484889452468,6.205906509231031,7.308179390169222,829.5301279827088,847.9967363317048,42.117021115758504,742.157662665461,885.36841991712,763.6914902713413,872.3030176549095,25.55,26,2.3050288273114594,20,29,23.7,29
