parameter_value,collapse_rate,mean_survival_epochs,final_population_mean,final_population_median,final_population_stddev,final_population_min,final_population_max,final_population_p10,final_population_p90,collapsed_mean,collapsed_median,collapsed_stddev,collapsed_min,collapsed_max,collapsed_p10,collapsed_p90,survival_epochs_mean,survival_epochs_median,survival_epochs_stddev,survival_epochs_min,survival_epochs_max,survival_epochs_p10,survival_epochs_p90,treasury_ratio_mean,treasury_ratio_median,treasury_ratio_stddev,treasury_ratio_min,treasury_ratio_max,treasury_ratio_p10,treasury_ratio_p90,gini_coefficient_mean,gini_coefficient_median,gini_coefficient_stddev,gini_coefficient_min,gini_coefficient_max,gini_coefficient_p10,gini_coefficient_p90,mean_fitness_mean,mean_fitness_median,mean_fitness_stddev,mean_fitness_min,mean_fitness_max,mean_fitness_p10,mean_fitness_p90,mean_population_mean,mean_population_median,mean_population_stddev,mean_population_min,mean_population_max,mean_population_p10,mean_population_p90,population_volatility_mean,population_volatility_median,population_volatility_stddev,population_volatility_min,population_volatility_max,population_volatility_p10,population_volatility_p90,total_births_mean,total_births_median,total_births_stddev,total_births_min,total_births_max,total_births_p10,total_births_p90,total_deaths_mean,total_deaths_median,total_deaths_stddev,total_deaths_min,total_deaths_max,total_deaths_p10,total_deaths_p90,birth_death_ratio_mean,birth_death_ratio_median,birth_death_ratio_stddev,birth_death_ratio_min,birth_death_ratio_max,birth_death_ratio_p10,birth_death_ratio_p90,total_catastrophe_deaths_mean,total_catastrophe_deaths_median,total_catastrophe_deaths_stddev,total_catastrophe_deaths_min,total_catastrophe_deaths_max,total_catastrophe_deaths_p10,total_catastrophe_deaths_p90,total_entropy_burned_mean,total_entropy_burned_median,total_entropy_burned_stddev,total_entropy_burned_min,total_entropy_burned_max,total_entropy_burned_p10,total_entropy_burned_p90,role_entropy_mean,role_entropy_median,role_entropy_stddev,role_entropy_min,role_entropy_max,role_entropy_p10,role_entropy_p90
0.00001,0,500,30.533333333333335,30,1.1254628677422756,29,32,29,32,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.011365128186411439,0.0006955319495567385,0.029230055433673664,0.0006305983726699574,0.10365590306015895,0.0006712280165300515,0.03461890922034333,0.4935150800310581,0.49386817717954756,0.045119663192548475,0.4164037129180263,0.610390870287063,0.4356701850990816,0.5204209136561995,0.5386093904735365,0.5423130861649192,0.02043144031351206,0.48804662756023953,0.5693364731798997,0.5143610826926978,0.556095130390096,30.30186666666667,30.298,0.2711514776089624,29.638,30.672,30.065199999999997,30.6288,1.9436895713755813,1.934838494551926,0.09815685402428435,1.8117439112634146,2.140671857151396,1.8396579644324358,2.047890454819484,22.6,22,3.794733192202055,15,30,19.2,27.6,12.066666666666666,11,3.32665998663324,6,18,8.4,16,0.8611111111111112,1,0.49966920274248655,0.25,2,0.3333333333333333,1.3333333333333333,1,1,0,1,1,1,1,21.269659862461157,21.215587713566297,0.8049478286085248,20.122002267450497,23.214507476051214,20.314819439494375,22.116132128606868,2.2917509789403048,2.2961796919474975,0.016379817431706606,2.2590830979570886,2.321928094887362,2.2689046185638198,2.3042229207247233
0.00002,0,500,30.066666666666666,31,1.4375905768565218,27,32,28,31,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0010509633257362876,0.0006795287635776367,0.0014665387494779756,0.0006398111286598569,0.006351733755285425,0.000648372698408224,0.0007012752466458199,0.4980294452618136,0.504756159965808,0.0447483049040398,0.4192447438208566,0.5671312235273859,0.44181085460622405,0.550714590021288,0.5261638645546625,0.5375157604533153,0.026702217920448943,0.4794390622337463,0.5728864539979606,0.49203315699462197,0.5490007437428136,30.23720000000001,30.182,0.3052079384850366,29.72,30.784,29.8692,30.6624,1.9555929734594069,1.9536335377956617,0.07404527203146605,1.843096307847204,2.0702260746111727,1.8533399097322922,2.06305379135679,24.333333333333332,24,3.086066999241838,18,30,21,28.200000000000003,14.266666666666667,14,3.2396354880199247,7,20,10.8,17.6,0.7914285714285715,0.8,0.4083482573976872,0.2,1.3333333333333333,0.3333333333333333,1.3333333333333333,1,1,0,1,1,1,1,59.46728544989735,59.85612114145809,2.9714668368217274,55.195604106976944,65.0677302747826,56.264811013684145,63.15196313793237,2.281103935317192,2.2961796919474975,0.0331858136436247,2.202103641552994,2.31122342677729,2.2379217742759416,2.3091056925595517
0.000030000000000000004,0,500,30.8,31,1.0823255385643318,28,32,30,32,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0006862959271941833,0.0006848913930846797,0.00002885920122815853,0.0006372981657872378,0.000734575467405512,0.0006505978829985135,0.0007186106131030032,0.4921971884327476,0.4758899465386688,0.052085304092053586,0.4235413931547725,0.5783766196532293,0.4376566732195876,0.5576085042755489,0.5304322749235895,0.5186952735984439,0.029214747702047707,0.4854971851052607,0.5764990703157911,0.5020591897561977,0.5708857141417663,30.16266666666667,30.134,0.20148401803569796,29.914,30.59,29.9756,30.455600000000004,1.9509339572394906,1.9503958572556592,0.06687003244455389,1.8345342733238763,2.062707928912876,1.8687607955745147,2.042895378611635,25.533333333333335,26,4.085980677296222,18,33,21,30.199999999999996,14.733333333333333,15,3.954503159449394,6,21,10.2,19.2,1.1555555555555554,1.25,0.5535479599053219,0.3333333333333333,2,0.5,2,1,1,0,1,1,1,1,122.63003355639198,122.45653489505825,5.185094827487272,113.001050263851,133.23644061258236,117.08474236615055,128.07500806727197,2.281734142633037,2.294059911434081,0.04296220010792917,2.157301337867077,2.319016166138134,2.2427948721411934,2.316194727985618
0.00004,0,500,30.4,30,0.9856107606091622,29,32,29.4,32,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0006964928253903163,0.0007000961233039947,0.00002585316215384073,0.000626485633515227,0.0007290327823322889,0.0006746244627357338,0.000724792099765209,0.5195445219156667,0.5074678241950965,0.04643983075993297,0.44888422632402514,0.5855572703075235,0.46141648201693486,0.5698915654360377,0.5350012429964894,0.5332113008214973,0.025863360266642595,0.4923894363813454,0.5958255275738213,0.5107739698833785,0.5582755029573351,30.2028,30.28,0.19409982704047657,29.83,30.424,29.936,30.402,1.9575051060953281,1.9576506327738858,0.08117106898436853,1.8256779562672178,2.1092889797275403,1.838597924950187,2.0498535385952525,24.8,25,3.2993505854507617,21,32,21,28.200000000000003,14.4,15,2.8735244660769563,11,20,11,18.2,0.8255555555555556,0.8,0.48234162079737547,0.25,2,0.3333333333333333,1.3333333333333333,1,1,0,1,1,1,1,207.99714990645194,207.40780562912408,6.931651819890339,198.20519510702965,221.75018858643082,200.37825779858304,216.01895053427867,2.2826057804696647,2.2961399650265073,0.03839557646854108,2.2081887399951703,2.319016166138134,2.221033516496769,2.313875597547823
0.00005,0,500,30.733333333333334,31,1.0327955589886444,29,32,29.4,32,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0012468237667792907,0.0007258579390892511,0.0020421012150294957,0.0006724384779929305,0.00862788230174943,0.0006866644038991893,0.0007626191207674113,0.5157750803500148,0.5077756467979666,0.04605673754792056,0.44022867724427905,0.5845623291591969,0.4574904434394822,0.5716478256686569,0.5271099964973563,0.5224028743117208,0.026668757021481485,0.4844534350097808,0.5758964620674818,0.49890282432456573,0.5663061506024647,30.421466666666667,30.42,0.1978750928766741,30.014,30.832,30.2348,30.6404,1.985191719440142,1.9745541268853555,0.0786182258014114,1.8797563671923114,2.1502102222805957,1.893972491636809,2.0853743616717835,23.6,24,3.2469766156929962,18,30,19.799999999999997,27.6,12.866666666666667,13,2.9244454093692624,8,19,8.8,15.6,0.78,0.5,0.4132334748806112,0.3333333333333333,1.4,0.3333333333333333,1.3333333333333333,1,1,0,1,1,1,1,289.5515124715141,287.4972239894829,10.447134624203178,273.4192866613867,310.86828571059976,277.4790392669177,303.4687864653425,2.29499933113407,2.298929563690935,0.021556906737917134,2.2443497041442484,2.319016166138134,2.2656114246102255,2.316194727985618
0.00006,0,500,30.6,30,0.9102589898327994,29,32,30,32,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0007156834972665748,0.000720955517655156,0.00003491728458951346,0.0006479680590409958,0.0007634050593314028,0.0006699200269838366,0.0007551186783485983,0.4883679760961947,0.4870273708909999,0.029853615878888327,0.43591646904616554,0.5550620677530977,0.45825991224084334,0.5190866242510414,0.528774908413024,0.5299308509766278,0.0326792819343199,0.47334061943196726,0.5815885805131098,0.4844040074340196,0.5628714558858712,30.27693333333333,30.254,0.32321851667843804,29.684,31.132,30.020400000000002,30.541199999999996,1.9517777229980517,1.9575862688525445,0.055736497486096846,1.8793732997996837,2.0819020149853418,1.8849280803340889,2.0030035112837803,24.133333333333333,26,4.485956923980604,16,29,18,29,13.533333333333333,14,4.307247491424303,6,19,7.4,18.2,0.888888888888889,1,0.4017158963442465,0.3333333333333333,1.3333333333333333,0.4,1.3333333333333333,1,1,0,1,1,1,1,372.68051535223645,369.38493008413656,20.520449589821464,332.3568988056381,415.4541271368912,353.5777399341774,393.4535666536879,2.298299690494426,2.304552262405662,0.01784690733155336,2.241946032206046,2.313875597547823,2.284603159286765,2.310810695541706
0.00007000000000000001,0,500,30.6,31,1.0555973258234952,28,32,29.4,31.6,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0007286133087199641,0.0007287231490001506,0.00003591095065748406,0.0006805661036965504,0.0008226937947341628,0.0006894252272649193,0.0007599505058176568,0.49821420552858864,0.49331181155617165,0.0369035865387065,0.42888463077119543,0.5517318649085506,0.4479335292235105,0.5383601957671158,0.5353517739581438,0.5366803243973854,0.019700527923396525,0.5019781261774834,0.565435559301069,0.5137336788646163,0.5608178891842294,30.182266666666674,30.17,0.27724343781147265,29.72,30.728,29.8316,30.5264,1.957569208251622,1.9353252956544544,0.09351467553919142,1.8113806888669164,2.148274656555822,1.8700992214294048,2.084412178011334,25,25,2.878491668515698,21,30,21,29.2,14.4,14,3.0425553170226594,10,21,10,17.6,0.8777777777777779,1,0.49484111072921666,0.2,2,0.3333333333333333,1.3333333333333333,1,1,0,1,1,1,1,445.46698662562466,448.74572672504615,22.726254253412165,406.9484533294387,483.1699650585603,411.6825855642412,472.17550901137804,2.2938057596091483,2.2967595230448175,0.01607352749706737,2.2682734124061352,2.3190161661381343,2.27492651808562,2.31281472923961
0.00008,0,500,30.866666666666667,31,0.7432233529572067,30,32,30,32,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.001878731530519063,0.0007530750543448404,0.004363673907851231,0.0006836976894231666,0.01765186216909203,0.0007078032514299503,0.0008081097795918843,0.5220978224413896,0.5073715664571216,0.05191052240534993,0.445604809623536,0.6221195657599585,0.4552294913760532,0.5756205839730704,0.5242206012066377,0.5258092780194029,0.024411203828753968,0.4933390146324966,0.5739675088932265,0.49616993064590287,0.5503255247837537,30.155733333333337,30.134,0.19152600221330154,29.838,30.434,29.9292,30.400800000000004,1.9771660824385047,1.9553659504041683,0.10585375248816213,1.7958741604021213,2.170171421800583,1.871506187571709,2.111854350774252,26.2,24,4.945416348210013,21,36,21.4,31.6,15.333333333333334,13,4.8057505236162745,10,25,10,20.6,0.9533333333333335,1,0.41610438250859255,0.3333333333333333,1.3333333333333333,0.4,1.3333333333333333,1,1,0,1,1,1,1,512.915977201731,514.993168257562,20.263023367946428,470.1025180064159,553.9434213726144,493.96273235371507,534.8863013017467,2.2927985065049836,2.2967595230448175,0.0201261028312275,2.2314986331640356,2.313875597547823,2.2756923106648927,2.309063296149688
0.00009,0,500,29.933333333333334,30,0.883715101688537,28,32,29,30.599999999999998,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.004652276144907232,0.0007553913548637636,0.015082613395145406,0.0006860420146509488,0.05917242191119378,0.0007048620812293688,0.000842903855482281,0.4912913274093968,0.4965034809660995,0.04161008968167516,0.41933460310399506,0.5495250959098867,0.4374567744905819,0.5433239648369852,0.5247506763183819,0.5223231074187552,0.01865862523394006,0.4906247776613537,0.5516496210256207,0.5048708583817831,0.5474970336653209,30.045866666666665,30.116,0.2587425269222191,29.576,30.414,29.697599999999998,30.3104,1.93541820400284,1.9262772386133769,0.050371217841902204,1.8523671342366068,2.0453850493244556,1.8977748752086459,2.007290383007609,24.733333333333334,25,3.390462814312833,19,31,21,29,14.8,14,3.8582009130829733,9,21,9.8,20.2,0.7455555555555556,0.8,0.3455193162235621,0.25,1.3333333333333333,0.3333333333333333,1.1999999999999997,1,1,0,1,1,1,1,587.041261121522,592.8674801663573,33.46663300138842,526.5301606797462,633.3989874239604,539.9664495952718,626.7828322482701,2.3005105996402055,2.3058231002082845,0.014673263868271157,2.2634582986483034,2.321928094887362,2.284414930105435,2.313815602086218
0.0001,0,500,29.866666666666667,30,0.7432233529572067,28,31,29,30.599999999999998,0,0,0,0,0,0,0,500,500,0,500,500,500,500,0.0007655140503641,0.0007561477731783514,0.00006212423163655708,0.000681924646438165,0.0009621468000091007,0.0007170676829337534,0.000788732586847186,0.5171408294018104,0.5157755612381673,0.04003700730368958,0.44717588333550023,0.5824255272687209,0.4583877800132838,0.5574781374500095,0.5264186919490361,0.5189743752827928,0.02856202763002882,0.49860086489793787,0.6048314059976156,0.5036970356099357,0.5614697995110112,30.136533333333333,30.172,0.2379801512331486,29.622,30.528,29.797600000000003,30.3436,1.9636875906581952,1.9599346927895271,0.0821417304877267,1.8544853733583473,2.152300164939823,1.8622066832402284,2.0407294771637927,25,25,3.565709706956767,18,30,20.2,29.6,15.133333333333333,15,3.6813558578845584,9,20,9.8,20,0.5199999999999999,0.5,0.1837873166945363,0.3333333333333333,1,0.3333333333333333,0.7466666666666666,1,1,0,1,1,1,1,670.4924387067737,668.2157366186221,36.29432905353568,616.5159718696775,755.8228880895184,630.8902607553131,697.418644890128,2.285885180806651,2.298929563690935,0.03042314323626894,2.220111964470926,2.316333280562803,2.2449771544682053,2.31234099227723
